epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,346.822,0.72963,0.50142,0.9017,0.9298,0.97595,0.995,0.81429,0.82289,0.49603,0.91862,0.000275084,0.000275084,0.000275084
40,355.927,0.74959,0.50682,0.9017,0.95219,1,0.995,0.84262,0.81378,0.40959,0.91358,0.000253086,0.000253086,0.000253086
41,392.216,0.72409,0.54592,0.89361,0.70133,1,0.93944,0.75565,0.83757,0.57694,0.91927,0.000231088,0.000231088,0.000231088
42,401.34,0.7218,0.50293,0.89486,0.85669,1,0.995,0.8296,0.75132,0.46084,0.90241,0.00020909,0.00020909,0.00020909
43,410.443,0.71502,0.50517,0.89029,0.95985,1,0.995,0.8013,0.83282,0.42593,0.92795,0.000187092,0.000187092,0.000187092
44,419.448,0.71523,0.48746,0.89357,0.96333,0.97138,0.995,0.77237,0.8495,0.4226,0.93872,0.000165095,0.000165095,0.000165095
45,428.349,0.70076,0.47347,0.88639,0.94432,0.99635,0.995,0.79101,0.81461,0.39967,0.92999,0.000143097,0.000143097,0.000143097
46,437.542,0.69179,0.46864,0.88533,0.96528,0.99582,0.995,0.78077,0.89968,0.39286,0.94602,0.000121099,0.000121099,0.000121099
47,446.468,0.67516,0.466,0.87521,0.96134,1,0.995,0.78249,0.9244,0.4006,0.96173,9.91012e-05,9.91012e-05,9.91012e-05
48,455.478,0.6668,0.45442,0.87273,0.97564,0.96215,0.995,0.78739,0.88629,0.38921,0.95142,7.71034e-05,7.71034e-05,7.71034e-05
49,464.454,0.68097,0.45742,0.87855,0.97741,0.96391,0.995,0.78633,0.84463,0.39241,0.93489,5.51056e-05,5.51056e-05,5.51056e-05
50,473.465,0.66,0.44061,0.86751,0.97499,0.96145,0.995,0.76928,0.87397,0.40413,0.9421,3.31078e-05,3.31078e-05,3.31078e-05
